video,climax time(second)
https://www.youtube.com/watch?v=qqpcBpSsj1A,111
https://www.youtube.com/watch?v=q1L60jfPgBM,23
https://www.youtube.com/watch?v=gMZM8MG6X1o,20.5
https://www.youtube.com/watch?v=HK958YS_YNA,23
https://www.youtube.com/watch?v=fI6LQSoH37Q,4.5
https://www.youtube.com/watch?v=29dlGyKAySY,28
https://www.youtube.com/watch?v=4FlwJwL6kdo,25
https://www.youtube.com/watch?v=S_US6re0sHM,29
https://www.youtube.com/watch?v=8nG_wVxO7EM,26
https://www.youtube.com/watch?v=wKn5K5V7tRo,53
https://www.youtube.com/watch?v=NP4mgObDeUU,26
https://www.youtube.com/watch?v=JnP2bVBZ9O8,30
https://www.youtube.com/watch?v=1qB0lb401ZU,37.5
https://www.youtube.com/watch?v=sq9r50EYJh0,5
